{'tag': '내가', 'count': 467}
{'tag': '알았어요', 'count': 29}
{'tag': '할까', 'count': 29}
{'tag': '당장', 'count': 28}
{'tag': '들어', 'count': 28}
{'tag': '있는데', 'count': 28}
{'tag': '처음', 'count': 28}
{'tag': '있죠', 'count': 28}
{'tag': '일을', 'count': 28}
{'tag': '생각해', 'count': 28}
{'tag': '저녁', 'count': 28}
{'tag': '어땠어', 'count': 28}
{'tag': '수가', 'count': 27}
{'tag': '알지', 'count': 27}
{'tag': '사람들이', 'count': 27}
{'tag': '않아', 'count': 27}
{'tag': '문제가', 'count': 27}
{'tag': '있으면', 'count': 27}
{'tag': '벌써', 'count': 27}
{'tag': '챈들러가', 'count': 26}
{'tag': '아무', 'count': 26}
{'tag': '생일', 'count': 26}
{'tag': '있다고', 'count': 26}
{'tag': '돼요', 'count': 26}
{'tag': '해요', 'count': 26}
{'tag': '안녕하세요', 'count': 26}
{'tag': '왜요', 'count': 26}
{'tag': '내일', 'count': 26}
{'tag': '크리스마스', 'count': 25}
{'tag': '좋겠어', 'count': 25}
{'tag': '고맙다', 'count': 25}
{'tag': 'One', 'count': 25}
{'tag': '그러게', 'count': 25}
{'tag': '훨씬', 'count': 25}
{'tag': '왔어', 'count': 25}
{'tag': '하면', 'count': 25}
{'tag': '서로', 'count': 25}
{'tag': '로스는', 'count': 25}
{'tag': '어쨌든', 'count': 24}
{'tag': '나와', 'count': 24}
{'tag': '그러니까', 'count': 24}
{'tag': '머리', 'count': 24}
{'tag': '정말요', 'count': 24}
{'tag': '사람은', 'count': 24}
{'tag': '시간', 'count': 24}
{'tag': '데이트', 'count': 24}
{'tag': '마지막', 'count': 24}
{'tag': '아빠', 'count': 23}
{'tag': '모든', 'count': 23}
{'tag': '기분', 'count': 23}
{'tag': '대한', 'count': 23}
{'tag': '아무도', 'count': 23}
{'tag': '여자가', 'count': 23}
{'tag': '있니', 'count': 23}
{'tag': '보자', 'count': 23}
{'tag': '정말이야', 'count': 22}
{'tag': '되는', 'count': 22}
{'tag': '같은데', 'count': 22}
{'tag': '뭐라구', 'count': 22}
{'tag': '들었어', 'count': 22}
{'tag': '그럼요', 'count': 22}
{'tag': '기분이', 'count': 22}
{'tag': '얘기를', 'count': 22}
{'tag': '좋다', 'count': 22}
{'tag': '제발', 'count': 21}
{'tag': '사실', 'count': 21}
{'tag': '없는', 'count': 21}
{'tag': '안에', 'count': 21}
{'tag': '짓이야', 'count': 21}
{'tag': '보여', 'count': 21}
{'tag': '봐요', 'count': 21}
{'tag': '선물', 'count': 21}
{'tag': '하나만', 'count': 20}
{'tag': '소리', 'count': 20}
{'tag': '사람들', 'count': 20}
{'tag': '같아요', 'count': 20}
{'tag': '항상', 'count': 20}
{'tag': '미안', 'count': 20}
{'tag': '가요', 'count': 20}
{'tag': '친구가', 'count': 20}
{'tag': '하자', 'count': 20}
{'tag': '당연하지', 'count': 20}
{'tag': '피비가', 'count': 20}
{'tag': '어느', 'count': 20}
{'tag': '아기가', 'count': 20}
{'tag': '지금은', 'count': 20}
{'tag': '있나', 'count': 20}
{'tag': '거죠', 'count': 20}
{'tag': '좋아해', 'count': 20}
{'tag': '했잖아', 'count': 20}
{'tag': '레이첼을', 'count': 20}
{'tag': '있었는데', 'count': 19}
{'tag': '커피', 'count': 19}
{'tag': '먹고', 'count': 19}
{'tag': '제일', 'count': 19}
{'tag': '말도', 'count': 19}
{'tag': '중에', 'count': 19}
{'tag': '말은', 'count': 19}
{'tag': '아니라', 'count': 19}
{'tag': '싶은', 'count': 19}
{'tag': '해봐', 'count': 19}
{'tag': '말해', 'count': 19}
{'tag': '있다', 'count': 19}
{'tag': '맙소사', 'count': 19}
{'tag': '되지', 'count': 19}
{'tag': '전혀', 'count': 19}
{'tag': '글쎄', 'count': 19}
{'tag': '기억나', 'count': 19}
{'tag': '다음', 'count': 18}
{'tag': '괜찮은', 'count': 18}
{'tag': '엄마가', 'count': 18}
{'tag': '될까', 'count': 18}
{'tag': '최고의', 'count': 18}
{'tag': 'With', 'count': 18}
{'tag': '그것도', 'count': 18}
{'tag': '전화', 'count': 18}
{'tag': '오빠', 'count': 18}
{'tag': '하는데', 'count': 18}
{'tag': '사진', 'count': 18}
{'tag': '와서', 'count': 18}
{'tag': '줄래', 'count': 18}
{'tag': '영화', 'count': 18}
{'tag': '있거든', 'count': 18}
{'tag': '자기야', 'count': 18}
{'tag': '알아요', 'count': 18}
{'tag': "''", 'count': 18}
{'tag': '거라고', 'count': 18}
{'tag': '보러', 'count': 18}
{'tag': '여자랑', 'count': 18}
{'tag': '모니카랑', 'count': 18}
{'tag': '들어봐', 'count': 18}
{'tag': '먹을', 'count': 17}
{'tag': '말하는', 'count': 17}
{'tag': '정말로', 'count': 17}
{'tag': '젠장', 'count': 17}
{'tag': '원하는', 'count': 17}
{'tag': '당신을', 'count': 17}
{'tag': '일이야', 'count': 17}
{'tag': '우리도', 'count': 17}
{'tag': '위해', 'count': 17}
{'tag': '보면', 'count': 17}
{'tag': '아기를', 'count': 17}
{'tag': '없어요', 'count': 17}
{'tag': '물론이지', 'count': 17}
{'tag': '해서', 'count': 17}
{'tag': '이상한', 'count': 17}
{'tag': '이래', 'count': 17}
{'tag': '가장', 'count': 17}
{'tag': '조금', 'count': 17}
{'tag': '앞에서', 'count': 17}
{'tag': '돈을', 'count': 17}
{'tag': '이젠', 'count': 17}
{'tag': '얘길', 'count': 17}
{'tag': '결혼', 'count': 17}
{'tag': '여자를', 'count': 17}
{'tag': '뭔지', 'count': 16}
{'tag': '두고', 'count': 16}
{'tag': '마음에', 'count': 16}
{'tag': '중요한', 'count': 16}
{'tag': '이유가', 'count': 16}
{'tag': '오래', 'count': 16}
{'tag': '아님', 'count': 16}
{'tag': '아빠가', 'count': 16}
{'tag': '뭐해', 'count': 16}
{'tag': '이것', 'count': 16}
{'tag': '좋아하는', 'count': 16}
{'tag': '대신', 'count': 16}
{'tag': '가지', 'count': 16}
{'tag': '사는', 'count': 16}
{'tag': '생각했어', 'count': 16}
{'tag': '감사합니다', 'count': 16}
{'tag': '어때요', 'count': 16}
{'tag': '여기가', 'count': 16}
{'tag': '너의', 'count': 16}
{'tag': '가는', 'count': 16}
{'tag': '점심', 'count': 16}
{'tag': '있네', 'count': 16}
{'tag': '얘기가', 'count': 16}
{'tag': '많은', 'count': 16}
{'tag': '맞아요', 'count': 16}
{'tag': '가자', 'count': 16}
{'tag': '갔어', 'count': 15}
{'tag': '아까', 'count': 15}
{'tag': '짓을', 'count': 15}
{'tag': '해도', 'count': 15}
{'tag': '니가', 'count': 15}
{'tag': '뭐라구요', 'count': 15}
{'tag': '걸로', 'count': 15}
{'tag': '축하해', 'count': 15}
{'tag': '애가', 'count': 15}
{'tag': '찾았어', 'count': 15}
{'tag': '들고', 'count': 15}
{'tag': '먹을래', 'count': 15}
{'tag': '약간', 'count': 15}
{'tag': '오빠가', 'count': 15}
{'tag': '남자랑', 'count': 15}
{'tag': '시간을', 'count': 15}
{'tag': '제대로', 'count': 15}
{'tag': '엄청', 'count': 15}
{'tag': '입고', 'count': 15}
{'tag': '조이랑', 'count': 15}
{'tag': '머리가', 'count': 15}
{'tag': '생각', 'count': 15}
{'tag': '할래', 'count': 15}
{'tag': '말인데', 'count': 15}
{'tag': '조이는', 'count': 15}
{'tag': '되고', 'count': 15}
{'tag': '같아서', 'count': 15}
{'tag': '때까지', 'count': 15}
{'tag': '저런', 'count': 15}
{'tag': '맘에', 'count': 15}
{'tag': '옛날', 'count': 15}
{'tag': '했어요', 'count': 15}
{'tag': '도대체', 'count': 15}
{'tag': '사람을', 'count': 15}
{'tag': '레이첼한테', 'count': 15}
{'tag': '가끔', 'count': 15}
{'tag': '뿐이야', 'count': 15}
{'tag': '알았지', 'count': 14}
{'tag': '아마', 'count': 14}
{'tag': '자꾸', 'count': 14}
{'tag': '사랑해요', 'count': 14}
{'tag': '전부', 'count': 14}
{'tag': '준비', 'count': 14}
{'tag': '아는', 'count': 14}
{'tag': '들어와', 'count': 14}
{'tag': '생각을', 'count': 14}
{'tag': '갈래', 'count': 14}
{'tag': '싶어요', 'count': 14}
{'tag': '고등학교', 'count': 14}
{'tag': '그러죠', 'count': 14}
{'tag': '결혼식', 'count': 14}
{'tag': '남자를', 'count': 14}
{'tag': '만든', 'count': 14}
{'tag': '같다', 'count': 14}
{'tag': '직접', 'count': 14}
{'tag': '특별한', 'count': 14}
{'tag': '가지고', 'count': 14}
{'tag': '옷을', 'count': 14}
{'tag': '완전히', 'count': 14}
{'tag': '좋은데', 'count': 14}
{'tag': '결혼을', 'count': 14}
{'tag': '내게', 'count': 14}
{'tag': '사랑에', 'count': 13}
{'tag': '누군지', 'count': 13}
{'tag': '아니야', 'count': 13}
{'tag': '오늘밤', 'count': 13}
{'tag': '친한', 'count': 13}
{'tag': '눈을', 'count': 13}
{'tag': '당신이', 'count': 13}
{'tag': '나서', 'count': 13}
{'tag': '나는', 'count': 13}
{'tag': '뭐죠', 'count': 13}
{'tag': '받아', 'count': 13}
{'tag': '될까요', 'count': 13}
{'tag': '잘됐다', 'count': 13}
{'tag': '이번', 'count': 13}
{'tag': '하려고', 'count': 13}
{'tag': '와우', 'count': 13}
{'tag': '자고', 'count': 13}
{'tag': '만들어', 'count': 13}
{'tag': '나쁜', 'count': 13}
{'tag': '나야', 'count': 13}
{'tag': '할머니', 'count': 13}
{'tag': '때마다', 'count': 13}
{'tag': '없잖아', 'count': 13}
{'tag': '듣고', 'count': 13}
{'tag': '만나서', 'count': 13}
{'tag': '빼고', 'count': 13}
{'tag': '가야', 'count': 13}
{'tag': '좋겠다', 'count': 13}
{'tag': '후에', 'count': 13}
{'tag': '이럴', 'count': 13}
{'tag': '게임', 'count': 13}
{'tag': '되잖아', 'count': 13}
{'tag': '줄까', 'count': 13}
{'tag': '진심이야', 'count': 13}
{'tag': '집에서', 'count': 13}
{'tag': '진짜로', 'count': 13}
{'tag': '남은', 'count': 12}
{'tag': '근사한', 'count': 12}
{'tag': '그러고', 'count': 12}
{'tag': '너희가', 'count': 12}
{'tag': "'s", 'count': 12}
{'tag': '보니까', 'count': 12}
{'tag': '굉장히', 'count': 12}
{'tag': '선물을', 'count': 12}
{'tag': '번째', 'count': 12}
{'tag': '없다고', 'count': 12}
{'tag': '해야', 'count': 12}
{'tag': '잘했어', 'count': 12}
{'tag': '뒤에', 'count': 12}
{'tag': '만난', 'count': 12}
{'tag': '한데', 'count': 12}
{'tag': '화장실', 'count': 12}
{'tag': '있을까', 'count': 12}
{'tag': '기회를', 'count': 12}
{'tag': '텐데', 'count': 12}
{'tag': '일은', 'count': 12}
{'tag': '잠시', 'count': 12}
{'tag': '없었어', 'count': 12}
{'tag': '아니고', 'count': 12}
{'tag': '뭐지', 'count': 12}
{'tag': '얼마', 'count': 12}
{'tag': '작은', 'count': 12}
{'tag': '개가', 'count': 12}
{'tag': '주는', 'count': 12}
{'tag': '있냐', 'count': 12}
{'tag': '있어서', 'count': 12}
{'tag': '입을', 'count': 12}
{'tag': '너무나', 'count': 12}
{'tag': '보는', 'count': 12}
{'tag': '뭔가', 'count': 12}
{'tag': '주세요', 'count': 12}
{'tag': '부모님이', 'count': 12}
{'tag': '눈이', 'count': 12}
{'tag': '로스랑', 'count': 12}
{'tag': '이름', 'count': 12}
{'tag': '샌드위치', 'count': 12}
{'tag': '레이첼은', 'count': 12}
{'tag': '있나요', 'count': 12}
{'tag': '결혼할', 'count': 12}
{'tag': '사탕', 'count': 12}
{'tag': '없지', 'count': 11}
{'tag': '아무래도', 'count': 11}
{'tag': '우리의', 'count': 11}
{'tag': '아이를', 'count': 11}
{'tag': '하나도', 'count': 11}
{'tag': '나를', 'count': 11}
{'tag': '한거야', 'count': 11}
{'tag': '필요해', 'count': 11}
{'tag': '나가', 'count': 11}
{'tag': '받은', 'count': 11}
{'tag': '귀여운', 'count': 11}
{'tag': '갑자기', 'count': 11}
{'tag': '방에', 'count': 11}
{'tag': '알았는데', 'count': 11}
{'tag': '사랑', 'count': 11}
{'tag': '좋겠어요', 'count': 11}
{'tag': '물론이죠', 'count': 11}
{'tag': '겔러', 'count': 11}
{'tag': '이걸로', 'count': 11}
{'tag': '알게', 'count': 11}
{'tag': '주고', 'count': 11}
{'tag': '보니', 'count': 11}
{'tag': '요즘', 'count': 11}
{'tag': '때가', 'count': 11}
{'tag': '일단', 'count': 11}
{'tag': '지금까지', 'count': 11}
{'tag': '얼른', 'count': 11}
{'tag': '볼래', 'count': 11}
{'tag': '멋지다', 'count': 11}
{'tag': '할게', 'count': 11}
{'tag': '우리는', 'count': 11}
{'tag': '드레스', 'count': 11}
{'tag': '갈게', 'count': 11}
{'tag': '조금만', 'count': 11}
{'tag': '냄새가', 'count': 11}
{'tag': '되면', 'count': 11}
{'tag': '속옷', 'count': 11}
{'tag': '결혼하고', 'count': 11}
{'tag': '집으로', 'count': 11}
{'tag': '비행기', 'count': 11}
{'tag': '여보', 'count': 11}
{'tag': '나의', 'count': 11}
{'tag': '이번엔', 'count': 11}
{'tag': '앉아', 'count': 11}
{'tag': '아침에', 'count': 11}
{'tag': '했지만', 'count': 11}
{'tag': '있었지', 'count': 11}
{'tag': '완벽한', 'count': 11}
{'tag': '거래', 'count': 11}
{'tag': '아가씨', 'count': 11}
{'tag': '직장', 'count': 11}
{'tag': '갖다', 'count': 11}
{'tag': '잠깐만요', 'count': 11}
{'tag': '한다고', 'count': 11}
{'tag': '하죠', 'count': 11}
{'tag': '미친', 'count': 11}
{'tag': '볼까', 'count': 11}
{'tag': '아파트', 'count': 11}
{'tag': '메리', 'count': 11}
{'tag': '만났어', 'count': 11}
{'tag': '지난', 'count': 11}
{'tag': '적이', 'count': 11}
{'tag': '피비는', 'count': 11}
{'tag': '쿠키', 'count': 11}
{'tag': '뜻이야', 'count': 11}
{'tag': '종일', 'count': 10}
{'tag': '에밀리', 'count': 10}
{'tag': '무지', 'count': 10}
{'tag': '많아', 'count': 10}
{'tag': '찾는', 'count': 10}
{'tag': '지금도', 'count': 10}
{'tag': '말한', 'count': 10}
{'tag': '이상', 'count': 10}
{'tag': '작년에', 'count': 10}
{'tag': '침대', 'count': 10}
{'tag': '언니가', 'count': 10}
{'tag': '너희들이', 'count': 10}
{'tag': '하는거야', 'count': 10}
{'tag': '우리한테', 'count': 10}
{'tag': '어머나', 'count': 10}
{'tag': '아침', 'count': 10}
{'tag': '했거든', 'count': 10}
{'tag': '싶은데', 'count': 10}
{'tag': '이유는', 'count': 10}
{'tag': '있던', 'count': 10}
{'tag': '평생', 'count': 10}
{'tag': '누구야', 'count': 10}
{'tag': '매일', 'count': 10}
{'tag': '아니에요', 'count': 10}
{'tag': '괜찮아요', 'count': 10}
{'tag': '거기서', 'count': 10}
{'tag': '레이첼과', 'count': 10}
{'tag': '남자는', 'count': 10}
{'tag': '모르지', 'count': 10}
{'tag': '집을', 'count': 10}
{'tag': '싶어서', 'count': 10}
{'tag': '사랑하는', 'count': 10}
{'tag': '아니지', 'count': 10}
{'tag': '뭘로', 'count': 10}
{'tag': '역시', 'count': 10}
{'tag': '의사', 'count': 10}
{'tag': '필요', 'count': 10}
{'tag': '마지막으로', 'count': 10}
{'tag': '생긴', 'count': 10}
{'tag': '얘야', 'count': 10}
{'tag': '싶지', 'count': 10}
{'tag': '다섯', 'count': 10}
{'tag': '행운을', 'count': 10}
{'tag': '있다면', 'count': 10}
{'tag': '피비랑', 'count': 10}
{'tag': '사랑을', 'count': 10}
{'tag': '친구들이', 'count': 10}
{'tag': '좋죠', 'count': 10}
{'tag': '해야지', 'count': 10}
{'tag': '아들', 'count': 10}
{'tag': '잘못', 'count': 10}
{'tag': '와요', 'count': 10}
{'tag': '거니', 'count': 10}
{'tag': '갈까', 'count': 10}
{'tag': '만약', 'count': 10}
{'tag': '대로', 'count': 10}
{'tag': '머리를', 'count': 10}
{'tag': '얼굴', 'count': 10}
{'tag': '알잖아', 'count': 10}
{'tag': '있습니다', 'count': 10}
{'tag': '문을', 'count': 10}
{'tag': '레이첼이랑', 'count': 10}
{'tag': '아마도', 'count': 10}
{'tag': '봤지', 'count': 10}
{'tag': '우와', 'count': 10}
{'tag': '사람도', 'count': 10}
{'tag': '맛이', 'count': 10}
{'tag': '생각이', 'count': 10}
{'tag': '신경', 'count': 10}
{'tag': '마사지', 'count': 10}
{'tag': '그때', 'count': 10}
{'tag': '웬일이야', 'count': 9}
{'tag': '어떡해', 'count': 9}
{'tag': '아니었어', 'count': 9}
{'tag': '힘든', 'count': 9}
{'tag': '확실히', 'count': 9}
{'tag': '만나는', 'count': 9}
{'tag': '어젯밤에', 'count': 9}
{'tag': '그린', 'count': 9}
{'tag': '않았어', 'count': 9}
{'tag': '특히', 'count': 9}
{'tag': '도와줘', 'count': 9}
{'tag': '그럴까', 'count': 9}
{'tag': '됐지', 'count': 9}
{'tag': '그거야', 'count': 9}
{'tag': '살아', 'count': 9}
{'tag': '밤에', 'count': 9}
{'tag': '돈이', 'count': 9}
{'tag': '사진을', 'count': 9}
{'tag': '농담', 'count': 9}
{'tag': '없다', 'count': 9}
{'tag': '일하는', 'count': 9}
{'tag': '우릴', 'count': 9}
{'tag': '저도', 'count': 9}
{'tag': '식당', 'count': 9}
{'tag': '사람들은', 'count': 9}
{'tag': '얘기도', 'count': 9}
{'tag': '점점', 'count': 9}
{'tag': '진짜야', 'count': 9}
{'tag': '재미있는', 'count': 9}
{'tag': '끔찍한', 'count': 9}
{'tag': '즐거운', 'count': 9}
{'tag': '하루', 'count': 9}
{'tag': '놓고', 'count': 9}
{'tag': '랄프', 'count': 9}
{'tag': '자리를', 'count': 9}
{'tag': '전화를', 'count': 9}
{'tag': '누구세요', 'count': 9}
{'tag': '타고', 'count': 9}
{'tag': '너와', 'count': 9}
{'tag': '멍청한', 'count': 9}
{'tag': '소리를', 'count': 9}
{'tag': '헤어진', 'count': 9}
{'tag': '엠마', 'count': 9}
{'tag': '그래야', 'count': 9}
{'tag': '애들이', 'count': 9}
{'tag': '연극', 'count': 9}
{'tag': '실은', 'count': 9}
{'tag': '얘기했어', 'count': 9}
{'tag': '그렇군요', 'count': 9}
{'tag': '반가워요', 'count': 9}
{'tag': '챈들러는', 'count': 9}
{'tag': '잤어', 'count': 9}
{'tag': '얘가', 'count': 9}
{'tag': '키스를', 'count': 9}
{'tag': '대화를', 'count': 9}
{'tag': '챈들러한테', 'count': 9}
{'tag': '얼음', 'count': 9}
{'tag': '이러는', 'count': 9}
{'tag': '때도', 'count': 9}
{'tag': '어디로', 'count': 9}
{'tag': '어젯밤', 'count': 9}
{'tag': '못할', 'count': 9}
{'tag': '어떨까', 'count': 9}
{'tag': '와인', 'count': 9}
{'tag': '약속해', 'count': 9}
{'tag': '음악', 'count': 9}
{'tag': '얘기하는', 'count': 9}
{'tag': '마음이', 'count': 9}
{'tag': '데리고', 'count': 9}
{'tag': '그러지', 'count': 9}
{'tag': '고맙습니다', 'count': 9}
{'tag': '너흰', 'count': 9}
{'tag': '쌍둥이', 'count': 9}
{'tag': '이봐', 'count': 9}
{'tag': '이사', 'count': 9}
{'tag': '모니카한테', 'count': 9}
{'tag': '고양이', 'count': 9}
{'tag': '없는데', 'count': 9}
{'tag': '섹스', 'count': 9}
{'tag': '청혼', 'count': 9}
{'tag': '반지를', 'count': 9}
{'tag': '솔직히', 'count': 9}
{'tag': '모니카는', 'count': 9}
{'tag': '알아야', 'count': 9}
{'tag': '끝까지', 'count': 9}
{'tag': '됐어요', 'count': 9}
{'tag': '알았다', 'count': 9}
{'tag': '비디오', 'count': 9}
{'tag': '피자', 'count': 9}
{'tag': '있잖아요', 'count': 9}
{'tag': '할머니가', 'count': 9}
{'tag': '줄래요', 'count': 8}
{'tag': '이것도', 'count': 8}
{'tag': '새로', 'count': 8}
{'tag': '좋게', 'count': 8}
{'tag': '밖에서', 'count': 8}
{'tag': '가고', 'count': 8}
{'tag': '받고', 'count': 8}
{'tag': '날이', 'count': 8}
{'tag': '1년', 'count': 8}
{'tag': '추수', 'count': 8}
{'tag': '나더러', 'count': 8}
{'tag': '할말이', 'count': 8}
{'tag': '거에요', 'count': 8}
{'tag': '했다고', 'count': 8}
{'tag': '밖에', 'count': 8}
{'tag': '없이', 'count': 8}
{'tag': '마이크', 'count': 8}
{'tag': '친구들', 'count': 8}
{'tag': '거다', 'count': 8}
{'tag': '그렇지만', 'count': 8}
{'tag': '아줌마', 'count': 8}
{'tag': '사람한테', 'count': 8}
{'tag': '관한', 'count': 8}
{'tag': '된거야', 'count': 8}
{'tag': '싶었어', 'count': 8}
{'tag': '만드는', 'count': 8}
{'tag': '건터', 'count': 8}
{'tag': '말하면', 'count': 8}
{'tag': '말했어', 'count': 8}
{'tag': '벤이', 'count': 8}
{'tag': '하잖아', 'count': 8}
{'tag': '자전거', 'count': 8}
{'tag': '쓰고', 'count': 8}
{'tag': '새로운', 'count': 8}
{'tag': '뭐래', 'count': 8}
{'tag': '샌드위치를', 'count': 8}
{'tag': '언제부터', 'count': 8}
{'tag': '웃겨', 'count': 8}
{'tag': '거고', 'count': 8}
{'tag': '왔어요', 'count': 8}
{'tag': '이름은', 'count': 8}
{'tag': '애들은', 'count': 8}
{'tag': '맞는', 'count': 8}
